 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos   Control Effort

[    0    0.000               0               0               0               0          0.5000;
     1    0.002               0               0               0               0          0.5000;
     2    0.004               0               0               0               0          0.5000;
     3    0.005               0               0               0               0          0.5000;
     4    0.007               0               1               0               0          0.5000;
     5    0.009               1               1               0               0          0.5000;
     6    0.011               1               2               0               0          0.5000;
     7    0.012               1               3               0               0          0.5000;
     8    0.014               3               4               0               0          0.5000;
     9    0.016               3               5               0               0          0.5000;
    10    0.018               7               7               0               0          0.5000;
    11    0.019               7               9               0               0          0.5000;
    12    0.021               7              10               0               0          0.5000;
    13    0.023              11              13               0               0          0.5000;
    14    0.025              11              14               0               0          0.5000;
    15    0.027              17              17               0               0          0.5000;
    16    0.028              17              19               0               0          0.5000;
    17    0.030              17              22               1               0          0.5000;
    18    0.032              23              25               1               0          0.5000;
    19    0.034              23              27               1               0          0.5000;
    20    0.035              31              31               2               0          0.5000;
    21    0.037              31              34               2               1          0.5000;
    22    0.039              31              37               2               1          0.5000;
    23    0.041              39              41               3               1          0.5000;
    24    0.043              39              44               3               1          0.5000;
    25    0.044              48              48               4               2          0.5000;
    26    0.046              48              52               5               3          0.5000;
    27    0.048              48              56               6               3          0.5000;
    28    0.050              58              60               7               4          0.5000;
    29    0.051              58              64               8               4          0.5000;
    30    0.053              68              68               9               5          0.5000;
    31    0.055              68              73              10               6          0.5000;
    32    0.057              68              77              11               7          0.5000;
    33    0.058              79              82              13               9          0.5000;
    34    0.060              79              86              14              10          0.5000;
    35    0.062              91              91              16              12          0.5000;
    36    0.064              91              96              18              13          0.5000;
    37    0.066              91             101              20              15          0.5000;
    38    0.067             103             106              22              17          0.5000;
    39    0.069             103             111              25              19          0.5000;
    40    0.071             116             116              27              21          0.5000;
    41    0.073             116             121              30              24          0.5000;
    42    0.074             116             126              32              26          0.5000;
    43    0.076             129             132              35              29          0.5000;
    44    0.078             129             137              38              32          0.5000;
    45    0.080             142             142              42              35          0.5000;
    46    0.081             142             148              45              39          0.5000;
    47    0.083             142             153              49              43          0.5000;
    48    0.085             156             159              53              46          0.5000;
    49    0.087             156             164              57              51          0.5000;
    50    0.089             170             170              61              55          0.5000;
    51    0.090             170             175              66              59          0.5000;
    52    0.092             170             181              70              64          0.5000;
    53    0.094             184             187              75              68          0.5000;
    54    0.096             184             192              80              73          0.5000;
    55    0.097             198             198              85              78          0.5000;
    56    0.099             198             204              91              84          0.5000;
    57    0.101             198             209              97              89          0.5000;
    58    0.103             212             215             102              95          0.5000;
    59    0.104             212             221             109             101          0.5000;
    60    0.106             226             226             115             107          0.5000;
    61    0.108             226             232             121             113          0.5000;
    62    0.110             226             238             128             120          0.5000;
    63    0.112             241             243             135             126          0.5000;
    64    0.113             241             249             142             133          0.5000;
    65    0.115             255             255             149             140          0.5000;
    66    0.117             255             261             156             148          0.5000;
    67    0.119             255             266             164             156          0.5000;
    68    0.120             269             272             172             163          0.5000;
    69    0.122             269             278             180             171          0.5000;
    70    0.124             283             283             188             179          0.5000;
    71    0.126             283             289             196             187          0.5000;
    72    0.128             283             295             205             196          0.5000;
    73    0.129             297             300             213             205          0.5000;
    74    0.131             297             306             222             214          0.5000;
    75    0.133             312             312             231             223          0.5000;
    76    0.135             312             318             240             232          0.5000;
    77    0.136             312             323             249             241          0.5000;
    78    0.138             326             329             258             249          0.5000;
    79    0.140             326             335             268             259          0.5000;
    80    0.142             341             341             278             269          0.5000;
    81    0.143             341             347             287             278          0.5000;
    82    0.145             341             353             297             288          0.5000;
    83    0.147             356             359             307             298          0.5000;
    84    0.149             356             365             317             308          0.5000;
    85    0.151             371             371             326             317          0.5000;
    86    0.152             371             377             337             327          0.5000;
    87    0.154             371             383             347             337          0.5000;
    88    0.156             386             389             357             348          0.5000;
    89    0.158             386             396             367             358          0.5000;
    90    0.159             402             402             377             368          0.5000;
    91    0.161             402             408             387             378          0.5000;
    92    0.163             402             415             398             388          0.5000;
    93    0.165             418             421             408             398          0.5000;
    94    0.166             418             428             418             408          0.5000;
    95    0.168             434             434             429             418          0.5000;
    96    0.170             434             441             439             429          0.5000;
    97    0.172             434             448             449             439          0.5000;
    98    0.174             451             455             459             449          0.5000;
    99    0.175             451             461             470             458          0.5000;
   100    0.177             469             469             479             468          0.5000;
   101    0.179             469             475             490             478          0.5000;
   102    0.181             469             483             500             488          0.5000;
   103    0.182             486             490             510             498          0.5000;
   104    0.184             486             497             519             508          0.5000;
   105    0.186             505             505             529             517          0.5000;
   106    0.188             505             512             539             527          0.5000;
   107    0.189             505             520             549             537          0.5000;
   108    0.191             524             528             558             547          0.5000;
   109    0.193             524             535             568             557          0.5000;
   110    0.195             543             543             577             566          0.5000;
   111    0.197             543             551             586             575          0.5000;
   112    0.198             543             560             596             584          0.5000;
   113    0.200             564             568             605             593          0.5000;
   114    0.202             564             576             614             602          0.5000;
   115    0.204             585             585             623             612          0.5000;
   116    0.205             585             593             632             621          0.5000;
   117    0.207             585             602             641             630          0.5000;
   118    0.209             607             611             649             639          0.5000;
   119    0.211             607             620             658             647          0.5000;
   120    0.213             629             629             666             655          0.5000;
   121    0.214             629             639             675             663          0.5000;
   122    0.216             629             648             683             672          0.5000;
   123    0.218             653             658             691             680          0.5000;
   124    0.220             653             667             699             689          0.5000;
   125    0.221             677             677             707             697          0.5000;
   126    0.223             677             687             715             705          0.5000;
   127    0.225             677             697             723             712          0.5000;
   128    0.227             702             707             731             719          0.5000;
   129    0.228             702             717             738             727          0.5000;
   130    0.230             727             727             746             735          0.5000;
   131    0.232             727             738             754             743          0.5000;
   132    0.234             727             748             761             751          0.5000;
   133    0.236             753             758             769             758          0.5000;
   134    0.237             753             769             776             765          0.5000;
   135    0.239             779             779             783             772          0.5000;
   136    0.241             779             790             791             779          0.5000;
   137    0.243             779             801             798             787          0.5000;
   138    0.244             806             811             805             795          0.5000;
   139    0.246             806             822             813             802          0.5000;
   140    0.248             833             833             820             809          0.5000;
   141    0.250             833             843             827             816          0.5000;
   142    0.251             833             854             834             823          0.5000;
   143    0.253             859             865             842             830          0.5000;
   144    0.255             859             875             849             837          0.5000;
   145    0.257             886             886             857             845          0.5000;
   146    0.259             886             897             864             852          0.5000;
   147    0.260             886             907             871             860          0.5000;
   148    0.262             913             918             879             867          0.5000;
   149    0.264             913             929             886             874          0.5000;
   150    0.266             940             940             894             881          0.5000;
   151    0.267             940             951             902             888          0.5000;
   152    0.269             940             962             909             896          0.5000;
   153    0.271             967             972             917             904          0.5000;
   154    0.273             967             983             925             912          0.5000;
   155    0.274             994             994             933             920          0.5000;
   156    0.276             994            1005             941             928          0.5000;
   157    0.278             994            1016             949             936          0.5000;
   158    0.280            1021            1027             957             944          0.5000;
   159    0.282            1021            1037             965             953          0.5000;
   160    0.283            1048            1048             974             961          0.5000;
   161    0.285            1048            1059             982             971          0.5000;
   162    0.287            1048            1070             991             979          0.5000;
   163    0.289            1075            1081            1000             988          0.5000;
   164    0.290            1075            1091            1009             997          0.5000;
   165    0.292            1102            1102            1018            1006          0.5000;
   166    0.294            1102            1113            1027            1015          0.5000;
   167    0.296            1102            1123            1037            1025          0.5000;
   168    0.298            1129            1134            1046            1034          0.5000;
   169    0.299            1129            1145            1056            1044          0.5000;
   170    0.301            1155            1155            1066            1054          0.5000;
   171    0.303            1155            1166            1075            1064          0.5000;
   172    0.305            1155            1176            1086            1074          0.5000;
   173    0.306            1181            1187            1096            1084          0.5000;
   174    0.308            1181            1197            1106            1095          0.5000;
   175    0.310            1207            1207            1117            1106          0.5000;
   176    0.312            1207            1218            1127            1117          0.5000;
   177    0.313            1207            1228            1138            1127          0.5000;
   178    0.315            1233            1239            1149            1138          0.5000;
   179    0.317            1233            1249            1160            1149          0.5000;
   180    0.319            1259            1259            1172            1160          0.5000;
   181    0.321            1259            1269            1183            1172          0.5000;
   182    0.322            1259            1279            1195            1184          0.5000;
   183    0.324            1284            1289            1206            1196          0.5000;
   184    0.326            1284            1299            1218            1208          0.5000;
   185    0.328            1309            1309            1230            1219          0.5000;
   186    0.329            1309            1319            1242            1230          0.5000;
   187    0.331            1309            1329            1254            1242          0.5000;
   188    0.333            1334            1338            1267            1254          0.5000;
   189    0.335            1334            1348            1279            1267          0.5000;
   190    0.336            1358            1358            1292            1280          0.5000;
   191    0.338            1358            1368            1305            1293          0.5000;
   192    0.340            1358            1378            1317            1307          0.5000;
   193    0.342            1383            1388            1330            1319          0.5000;
   194    0.344            1383            1398            1343            1331          0.5000;
   195    0.345            1408            1408            1356            1344          0.5000;
   196    0.347            1408            1418            1369            1357          0.5000;
   197    0.349            1408            1429            1382            1371          0.5000;
   198    0.351            1434            1439            1396            1385          0.5000;
   199    0.352            1434            1449            1409            1399          0.5000;
   200    0.354            1460            1460            1422            1411          0.5000;
   201    0.356            1460            1470            1435            1424          0.5000;
   202    0.358            1460            1481            1449            1437          0.5000;
   203    0.359            1486            1492            1462            1451          0.5000;
   204    0.361            1486            1503            1476            1465          0.5000;
   205    0.363            1513            1513            1489            1480          0.5000;
   206    0.365            1513            1525            1502            1494          0.5000;
   207    0.367            1513            1535            1516            1508          0.5000;
   208    0.368            1541            1547            1530            1520          0.5000;
   209    0.370            1541            1558            1543            1532          0.5000;
   210    0.372            1569            1569            1557            1545          0.5000;
   211    0.374            1569            1581            1570            1558          0.5000;
   212    0.375            1569            1592            1584            1573          0.5000;
   213    0.377            1598            1604            1597            1588          0.5000;
   214    0.379            1598            1615            1611            1602          0.5000;
   215    0.381            1627            1627            1624            1615          0.5000;
   216    0.383            1627            1639            1638            1627          0.5000;
   217    0.384            1627            1651            1651            1639          0.5000;
   218    0.386            1657            1663            1665            1651          0.5000;
   219    0.388            1657            1675            1678            1665          0.5000;
   220    0.390            1688            1688            1691            1679          0.5000;
   221    0.391            1688            1700            1705            1694          0.5000;
   222    0.393            1688            1713            1718            1708          0.5000;
   223    0.395            1719            1726            1731            1720          0.5000;
   224    0.397            1719            1739            1745            1732          0.5000;
   225    0.398            1751            1751            1758            1745          0.5000;
   226    0.400            1751            1765            1771            1758          0.5000;
   227    0.402            1751            1778            1784            1771          0.5000;
   228    0.404            1785            1791            1797            1785          0.5000;
   229    0.406            1785            1805            1810            1799          0.5000;
   230    0.407            1819            1819            1823            1812          0.5000;
   231    0.409            1819            1833            1836            1824          0.5000;
   232    0.411            1819            1847            1849            1836          0.5000;
   233    0.413            1854            1861            1862            1849          0.5000;
   234    0.414            1854            1875            1875            1862          0.5000;
   235    0.416            1890            1890            1888            1876          0.5000;
   236    0.418            1890            1905            1901            1889          0.5000;
   237    0.420            1890            1919            1913            1902          0.5000;
   238    0.421            1927            1935            1926            1915          0.5000;
   239    0.423            1927            1950            1939            1927          0.5000;
   240    0.425            1965            1965            1951            1940          0.5000;
   241    0.427            1965            1981            1964            1952          0.5000;
   242    0.429            1965            1996            1977            1965          0.5000;
   243    0.430            2004            2012            1990            1978          0.5000;
   244    0.432            2004            2028            2002            1991          0.5000;
   245    0.434            2044            2044            2015            2004          0.5000;
   246    0.436            2044            2061            2028            2016          0.5000;
   247    0.437            2044            2077            2041            2029          0.5000;
   248    0.439            2085            2093            2054            2041          0.5000;
   249    0.441            2085            2110            2067            2055          0.5000;
   250    0.443            2126            2126            2080            2068          0.5000;
   251    0.444            2126            2143            2093            2081          0.5000;
   252    0.446            2126            2160            2106            2094          0.5000;
   253    0.448            2168            2177            2119            2107          0.5000;
   254    0.450            2168            2194            2133            2120          0.5000;
   255    0.452            2211            2211            2146            2133          0.5000;
   256    0.453            2211            2228            2159            2147          0.5000;
   257    0.455            2211            2245            2173            2161          0.5000;
   258    0.457            2254            2263            2187            2175          0.5000;
   259    0.459            2254            2280            2201            2189          0.5000;
   260    0.460            2298            2298            2215            2202          0.5000;
   261    0.462            2298            2315            2229            2216          0.5000;
   262    0.464            2298            2333            2243            2230          0.5000;
   263    0.466            2342            2351            2258            2244          0.5000;
   264    0.468            2342            2368            2272            2259          0.5000;
   265    0.469            2386            2386            2287            2274          0.5000;
   266    0.471            2386            2404            2302            2289          0.5000;
   267    0.473            2386            2422            2317            2305          0.5000;
   268    0.475            2431            2440            2332            2320          0.5000;
   269    0.476            2431            2458            2347            2335          0.5000;
   270    0.478            2476            2476            2363            2350          0.5000;
   271    0.480            2476            2494            2378            2366          0.5000;
   272    0.482            2476            2512            2394            2382          0.5000;
   273    0.483            2521            2530            2410            2398          0.5000;
   274    0.485            2521            2548            2427            2415          0.5000;
   275    0.487            2566            2566            2443            2431          0.5000;
   276    0.489            2566            2584            2460            2448          0.5000;
   277    0.491            2566            2602            2477            2465          0.5000;
   278    0.492            2611            2620            2494            2481          0.5000;
   279    0.494            2611            2638            2512            2499          0.5000;
   280    0.496            2656            2656            2529            2516          0.5000;
   281    0.498            2656            2674            2547            2534          0.5000;
   282    0.499            2656            2692            2565            2553          0.5000;
   283    0.501            2701            2710            2583            2572          0.5000;
   284    0.503            2701            2728            2602            2590          0.5000;
   285    0.505            2746            2746            2621            2609          0.5000;
   286    0.506            2746            2763            2639            2627          0.5000;
   287    0.508            2746            2781            2658            2645          0.5000;
   288    0.510            2790            2799            2678            2665          0.5000;
   289    0.512            2790            2817            2697            2685          0.5000;
   290    0.514            2835            2835            2717            2705          0.5000;
   291    0.515            2835            2852            2737            2726          0.5000;
   292    0.517            2835            2870            2757            2746          0.5000;
   293    0.519            2879            2888            2777            2765          0.5000;
   294    0.521            2879            2906            2798            2785          0.5000;
   295    0.522            2923            2923            2818            2804          0.5000;
   296    0.524            2923            2941            2839            2825          0.5000;
   297    0.526            2923            2959            2860            2847          0.5000;
   298    0.528            2968            2977            2881            2868          0.5000;
   299    0.529            2968            2994            2902            2889          0.5000;
   300    0.531            3012            3012            2924            2910          0.5000;
   301    0.533            3012            3030            2945            2931          0.5000;
   302    0.535            3012            3047            2967            2953          0.5000;
   303    0.537            3056            3065            2989            2975          0.5000;
   304    0.538            3056            3083            3010            2997          0.5000;
   305    0.540            3100            3100            3032            3020          0.5000;
   306    0.542            3100            3118            3054            3042          0.5000;
   307    0.544            3100            3135            3076            3064          0.5000;
   308    0.545            3144            3153            3098            3086          0.5000;
   309    0.547            3144            3170            3121            3108          0.5000;
   310    0.549            3187            3187            3143            3130          0.5000;
   311    0.551            3187            3205            3165            3153          0.5000;
   312    0.553            3187            3223            3188            3176          0.5000;
   313    0.554            3231            3240            3210            3199          0.5000;
   314    0.556            3231            3258            3233            3220          0.5000;
   315    0.558            3275            3275            3255            3242          0.5000;
   316    0.560            3275            3293            3278            3264          0.5000;
   317    0.561            3275            3311            3300            3286          0.5000;
   318    0.563            3319            3328            3322            3308          0.5000;
   319    0.565            3319            3346            3345            3332          0.5000;
   320    0.567            3364            3364            3367            3355          0.5000;
   321    0.568            3364            3382            3390            3377          0.5000;
   322    0.570            3364            3400            3412            3399          0.5000;
   323    0.572            3409            3418            3434            3420          0.5000;
   324    0.574            3409            3437            3456            3442          0.5000;
   325    0.576            3455            3455            3478            3464          0.5000;
   326    0.577            3455            3473            3500            3487          0.5000;
   327    0.579            3455            3491            3522            3509          0.5000;
   328    0.581            3500            3509            3544            3532          0.5000;
   329    0.583            3500            3528            3566            3553          0.5000;
   330    0.584            3546            3546            3587            3575          0.5000;
   331    0.586            3546            3565            3609            3596          0.5000;
   332    0.588            3546            3583            3630            3617          0.5000;
   333    0.590            3593            3602            3651            3637          0.5000;
   334    0.591            3593            3621            3672            3658          0.5000;
   335    0.593            3639            3639            3693            3679          0.5000;
   336    0.595            3639            3658            3714            3700          0.5000;
   337    0.597            3639            3677            3734            3720          0.5000;
   338    0.599            3687            3696            3755            3741          0.5000;
   339    0.600            3687            3715            3775            3761          0.5000;
   340    0.602            3734            3734            3795            3781          0.5000;
   341    0.604            3734            3754            3815            3801          0.5000;
   342    0.606            3734            3773            3835            3820          0.5000;
   343    0.607            3783            3793            3854            3839          0.5000;
   344    0.609            3783            3812            3874            3859          0.5000;
   345    0.611            3832            3832            3893            3879          0.5000;
   346    0.613            3832            3851            3912            3898          0.5000;
   347    0.614            3832            3871            3931            3918          0.5000;
   348    0.616            3881            3891            3950            3936          0.5000;
   349    0.618            3881            3912            3969            3955          0.5000;
   350    0.620            3932            3932            3987            3973          0.5000;
   351    0.622            3932            3952            4006            3991          0.5000;
   352    0.623            3932            3973            4024            4009          0.5000;
   353    0.625            3983            3993            4042            4027          0.5000;
   354    0.627            3983            4013            4060            4045          0.5000;
   355    0.629            4034            4034            4077            4063          0.5000;
   356    0.630            4034            4055            4095            4081          0.5000;
   357    0.632            4034            4075            4113            4098          0.5000;
   358    0.634            4086            4097            4130            4115          0.5000;
   359    0.636            4086            4117            4147            4133          0.5000;
   360    0.638            4139            4139            4164            4150          0.5000;
   361    0.639            4139            4160            4182            4168          0.5000;
   362    0.641            4139            4181            4198            4185          0.5000;
   363    0.643            4192            4203            4215            4201          0.5000;
   364    0.645            4192            4224            4232            4218          0.5000;
   365    0.646            4246            4246            4249            4235          0.5000;
   366    0.648            4246            4268            4266            4251          0.5000;
   367    0.650            4246            4290            4282            4269          0.5000;
   368    0.652            4301            4311            4299            4286          0.5000;
   369    0.653            4301            4334            4315            4303          0.5000;
   370    0.655            4356            4356            4332            4319          0.5000;
   371    0.657            4356            4378            4349            4336          0.5000;
   372    0.659            4356            4400            4365            4352          0.5000;
   373    0.661            4411            4422            4382            4368          0.5000;
   374    0.662            4411            4445            4399            4385          0.5000;
   375    0.664            4467            4467            4415            4402          0.5000;
   376    0.666            4467            4489            4432            4419          0.5000;
   377    0.668            4467            4512            4449            4435          0.5000;
   378    0.669            4523            4535            4466            4452          0.5000;
   379    0.671            4523            4557            4483            4468          0.5000;
   380    0.673            4580            4580            4500            4485          0.5000;
   381    0.675            4580            4603            4517            4502          0.5000;
   382    0.676            4580            4626            4534            4519          0.5000;
   383    0.678            4637            4649            4552            4537          0.5000;
   384    0.680            4637            4671            4569            4555          0.5000;
   385    0.682            4695            4695            4587            4573          0.5000;
   386    0.684            4695            4718            4605            4591          0.5000;
   387    0.685            4695            4741            4622            4609          0.5000;
   388    0.687            4752            4764            4641            4627          0.5000;
   389    0.689            4752            4787            4659            4645          0.5000;
   390    0.691            4810            4810            4678            4664          0.5000;
   391    0.692            4810            4833            4696            4682          0.5000;
   392    0.694            4810            4856            4715            4701          0.5000;
   393    0.696            4867            4879            4734            4721          0.5000;
   394    0.698            4867            4902            4754            4740          0.5000;
   395    0.699            4925            4925            4774            4760          0.5000;
   396    0.701            4925            4948            4794            4780          0.5000;
   397    0.703            4925            4971            4814            4801          0.5000;
   398    0.705            4983            4994            4834            4821          0.5000;
   399    0.707            4983            5017            4855            4841          0.5000;
   400    0.708            5040            5040            4876            4861          0.5000;
   401    0.710            5040            5063            4897            4882          0.5000;
   402    0.712            5040            5086            4919            4903          0.5000;
   403    0.714            5098            5109            4940            4925          0.5000;
   404    0.715            5098            5132            4962            4948          0.5000;
   405    0.717            5155            5155            4985            4971          0.5000;
   406    0.719            5155            5178            5007            4993          0.5000;
   407    0.721            5155            5201            5030            5016          0.5000;
   408    0.723            5212            5223            5054            5038          0.5000;
   409    0.724            5212            5246            5077            5062          0.5000;
   410    0.726            5269            5269            5101            5085          0.5000;
   411    0.728            5269            5292            5124            5110          0.5000;
   412    0.730            5269            5314            5149            5135          0.5000;
   413    0.731            5326            5337            5173            5160          0.5000;
   414    0.733            5326            5359            5198            5185          0.5000;
   415    0.735            5382            5382            5223            5209          0.5000;
   416    0.737            5382            5404            5248            5233          0.5000;
   417    0.738            5382            5426            5274            5258          0.5000;
   418    0.740            5437            5449            5299            5283          0.5000;
   419    0.742            5437            5471            5326            5309          0.5000;
   420    0.744            5493            5493            5352            5336          0.5000;
   421    0.746            5493            5515            5378            5364          0.5000;
   422    0.747            5493            5538            5405            5391          0.5000;
   423    0.749            5549            5560            5431            5417          0.5000;
   424    0.751            5549            5582            5458            5444          0.5000;
   425    0.753            5604            5604            5486            5471          0.5000;
   426    0.754            5604            5626            5513            5498          0.5000;
   427    0.756            5604            5648            5541            5527          0.5000;
   428    0.758            5659            5670            5568            5555          0.5000;
   429    0.760            5659            5693            5596            5584          0.5000;
   430    0.761            5714            5714            5624            5611          0.5000;
   431    0.763            5714            5737            5652            5638          0.5000;
   432    0.765            5714            5759            5680            5664          0.5000;
   433    0.767            5769            5781            5709            5692          0.5000;
   434    0.769            5769            5802            5737            5721          0.5000;
   435    0.770            5825            5825            5765            5750          0.5000;
   436    0.772            5825            5846            5794            5780          0.5000;
   437    0.774            5825            5869            5822            5809          0.5000;
   438    0.776            5879            5891            5851            5837          0.5000;
   439    0.777            5879            5913            5879            5865          0.5000;
   440    0.779            5935            5935            5908            5894          0.5000;
   441    0.781            5935            5957            5936            5922          0.5000;
   442    0.783            5935            5979            5965            5951          0.5000;
   443    0.784            5991            6002            5993            5979          0.5000;
   444    0.786            5991            6025            6022            6006          0.5000;
   445    0.788            6047            6047            6050            6034          0.5000;
   446    0.790            6047            6070            6078            6061          0.5000;
   447    0.792            6047            6093            6106            6089          0.5000;
   448    0.793            6104            6115            6134            6117          0.5000;
   449    0.795            6104            6138            6162            6146          0.5000;
   450    0.797            6161            6161            6190            6175          0.5000;
   451    0.799            6161            6184            6218            6203          0.5000;
   452    0.800            6161            6207            6245            6230          0.5000;
   453    0.802            6219            6231            6272            6257          0.5000;
   454    0.804            6219            6254            6300            6285          0.5000;
   455    0.806            6277            6277            6327            6312          0.5000;
   456    0.808            6277            6301            6354            6340          0.5000;
   457    0.809            6277            6324            6381            6367          0.5000;
   458    0.811            6336            6348            6407            6393          0.5000;
   459    0.813            6336            6372            6434            6419          0.5000;
   460    0.815            6395            6395            6460            6444          0.5000;
   461    0.816            6395            6420            6486            6468          0.5000;
   462    0.818            6395            6444            6512            6494          0.5000;
