 Sample   Time     Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0              -1          0.0000;
     1    0.009               0              -1          0.0000;
     2    0.018               0              -1          0.0000;
     3    0.027               0              -1          0.0000;
     4    0.035               0               0          0.0000;
     5    0.044               0               0          0.0000;
     6    0.053               0               0          0.0000;
     7    0.062               0               0          0.0000;
     8    0.071               0               0          0.0000;
     9    0.080               0               0          0.0000;
    10    0.089               0               0          0.0000;
    11    0.097               0               0          0.0000;
    12    0.106               0               0          0.0000;
    13    0.115               0               0          0.0000;
    14    0.124               0               0          0.0000;
    15    0.133               0              -1          0.0000;
    16    0.142               0              -1          0.0000;
    17    0.151               0              -1          0.0000;
    18    0.159               0              -1          0.0000;
    19    0.168               0              -1          0.0000;
    20    0.177               0              -1          0.0000;
    21    0.186               0              -1          0.0000;
    22    0.195               0              -1          0.0000;
    23    0.204               0              -1          0.0000;
    24    0.213               0               0          0.0000;
    25    0.221               0               0          0.0000;
    26    0.230               0               0          0.0000;
    27    0.239               0               0          0.0000;
    28    0.248               0               0          0.0000;
    29    0.257               0               0          0.0000;
    30    0.266               0               0          0.0000;
    31    0.274               0              -1          0.0000;
    32    0.283               0              -1          0.0000;
    33    0.292               0              -1          0.0000;
    34    0.301               0              -1          0.0000;
    35    0.310               0              -1          0.0000;
    36    0.319               0              -1          0.0000;
    37    0.328               0               0          0.0000;
    38    0.336               0               0          0.0000;
    39    0.345               0               0          0.0000;
    40    0.354               0               0          0.0000;
    41    0.363               0               0          0.0000;
    42    0.372               0               0          0.0000;
    43    0.381               0               0          0.0000;
    44    0.390               0               0          0.0000;
    45    0.398               0               0          0.0000;
    46    0.407               0               0          0.0000;
    47    0.416               0              -1          0.0000;
    48    0.425               0              -1          0.0000;
    49    0.434               0              -1          0.0000;
    50    0.443               0              -1          0.0000;
    51    0.452               0              -1          0.0000;
    52    0.460               0              -1          0.0000;
    53    0.469               0               0          0.0000;
    54    0.478               0               0          0.0000;
    55    0.487               0               0          0.0000;
    56    0.496               0               0          0.0000;
    57    0.505               0               0          0.0000;
    58    0.514               0               0          0.0000;
    59    0.522               0               0          0.0000;
    60    0.531               0               0          0.0000;
    61    0.540               0              -1          0.0000;
    62    0.549               0              -1          0.0000;
    63    0.558               0              -1          0.0000;
    64    0.567               0              -1          0.0000;
    65    0.576               0              -1          0.0000;
    66    0.584               0              -1          0.0000;
    67    0.593               0              -1          0.0000;
    68    0.602               0              -1          0.0000;
    69    0.611               0              -1          0.0000;
    70    0.620               0              -1          0.0000;
    71    0.629               0              -1          0.0000;
    72    0.638               0               0          0.0000;
    73    0.646               0               0          0.0000;
    74    0.655               0               0          0.0000;
    75    0.664               0               0          0.0000;
    76    0.673               0               0          0.0000;
    77    0.682               0               0          0.0000;
    78    0.691               0               0          0.0000;
    79    0.699               0               0          0.0000;
    80    0.708               0               0          0.0000;
    81    0.717               0               0          0.0000;
    82    0.726               0               0          0.0000;
    83    0.735               0              -1          0.0000;
    84    0.744               0              -1          0.0000;
    85    0.753               0              -1          0.0000;
    86    0.761               0              -1          0.0000;
    87    0.770               0              -1          0.0000;
    88    0.779               0              -1          0.0000;
    89    0.788               0              -1          0.0000;
    90    0.797               0               0          0.0000;
    91    0.806               0               0          0.0000;
    92    0.815               0               0          0.0000;
    93    0.823               0               0          0.0000;
    94    0.832               0               0          0.0000;
    95    0.841               0               0          0.0000;
    96    0.850               0               0          0.0000;
    97    0.859               0               0          0.0000;
    98    0.868               0               0          0.0000;
    99    0.877               0               0          0.0000;
   100    0.885               0               0          0.0000;
   101    0.894               0               0          0.0000;
   102    0.903               0               0          0.0000;
   103    0.912               0               0          0.0000;
   104    0.921               0              -1          0.0000;
   105    0.930               0              -1          0.0000;
   106    0.939               0              -1          0.0000;
   107    0.947               0               0          0.0000;
   108    0.956               0               0          0.0000;
   109    0.965               0               0          0.0000;
   110    0.974               0               0          0.0000;
   111    0.983               0               0          0.0000;
   112    0.992               0               0          0.0000;
   113    1.001               0               0          0.0000;
   114    1.009               0               0          0.0000;
   115    1.018               0               0          0.0000;
   116    1.027               0               0          0.0000;
   117    1.036               0               0          0.0000;
   118    1.045               0               0          0.0000;
   119    1.054               0               0          0.0000;
   120    1.063               0               0          0.0000;
   121    1.071               0              -1          0.0000;
   122    1.080               0              -1          0.0000;
   123    1.089               0              -1          0.0000;
   124    1.098               0              -1          0.0000;
   125    1.107               0              -1          0.0000;
   126    1.116               0               0          0.0000;
   127    1.124               0               0          0.0000;
   128    1.133               0               0          0.0000;
   129    1.142               0               0          0.0000;
   130    1.151               0               0          0.0000;
   131    1.160               0               0          0.0000;
   132    1.169               0               0          0.0000;
   133    1.178               0               0          0.0000;
   134    1.186               0               0          0.0000;
   135    1.195               0               0          0.0000;
   136    1.204               0               0          0.0000;
   137    1.213               0               0          0.0000;
   138    1.222               0              -1          0.0000;
   139    1.231               0              -1          0.0000;
   140    1.240               0              -1          0.0000;
   141    1.248               0              -1          0.0000;
   142    1.257               0              -1          0.0000;
   143    1.266               0              -1          0.0000;
   144    1.275               0              -1          0.0000;
   145    1.284               0               0          0.0000;
   146    1.293               0               0          0.0000;
   147    1.302               0               0          0.0000;
   148    1.310               0               0          0.0000;
   149    1.319               0               0          0.0000;
   150    1.328               0               0          0.0000;
   151    1.337               0               0          0.0000;
   152    1.346               0               0          0.0000;
   153    1.355               0               0          0.0000;
   154    1.364               0               0          0.0000;
   155    1.372               0               0          0.0000;
   156    1.381               0               0          0.0000;
   157    1.390               0               0          0.0000;
   158    1.399               0              -1          0.0000;
   159    1.408               0              -1          0.0000;
   160    1.417               0              -1          0.0000;
   161    1.426               0              -1          0.0000;
   162    1.434               0              -1          0.0000;
   163    1.443               0               0          0.0000;
   164    1.452               0               0          0.0000;
   165    1.461               0               0          0.0000;
   166    1.470               0               0          0.0000;
   167    1.479               0               0          0.0000;
   168    1.488               0               0          0.0000;
   169    1.496               0               0          0.0000;
   170    1.505               0               0          0.0000;
   171    1.514               0               0          0.0000;
   172    1.523               0               0          0.0000;
   173    1.532               0               0          0.0000;
   174    1.541               0               0          0.0000;
   175    1.549               0               0          0.0000;
   176    1.558               0              -1          0.0000;
   177    1.567               0              -1          0.0000;
   178    1.576               0              -1          0.0000;
   179    1.585               0               0          0.0000;
   180    1.594               0               0          0.0000;
   181    1.603               0               0          0.0000;
   182    1.611               0               0          0.0000;
   183    1.620               0               0          0.0000;
   184    1.629               0               0          0.0000;
   185    1.638               0               0          0.0000;
   186    1.647               0               0          0.0000;
   187    1.656               0               0          0.0000;
   188    1.665               0               0          0.0000;
   189    1.673               0               0          0.0000;
   190    1.682               0              -1          0.0000;
   191    1.691               0              -1          0.0000;
   192    1.700               0              -1          0.0000;
   193    1.709               0              -1          0.0000;
   194    1.718               0              -1          0.0000;
   195    1.727               0              -1          0.0000;
   196    1.735               0               0          0.0000;
   197    1.744               0               0          0.0000;
   198    1.753               0               0          0.0000;
   199    1.762               0               0          0.0000;
   200    1.771               0               0          0.0000;
   201    1.780               0               0          0.0000;
   202    1.789               0               0          0.0000;
   203    1.797               0               0          0.0000;
   204    1.806               0               0          0.0000;
   205    1.815               0               0          0.0000;
   206    1.824               0              -1          0.0000;
   207    1.833               0              -1          0.0000;
   208    1.842               0              -1          0.0000;
   209    1.851               0              -1          0.0000;
   210    1.859               0              -1          0.0000;
   211    1.868               0               0          0.0000;
   212    1.877               0               0          0.0000;
   213    1.886               0               0          0.0000;
   214    1.895               0               0          0.0000;
   215    1.904               0               0          0.0000;
   216    1.913               0               0          0.0000;
   217    1.921               0               0          0.0000;
   218    1.930               0               0          0.0000;
   219    1.939               0               0          0.0000;
   220    1.948               0               0          0.0000;
   221    1.957               0              -1          0.0000;
   222    1.966               0              -1          0.0000;
   223    1.974               0              -1          0.0000;
   224    1.983               0              -1          0.0000;
   225    1.992               0              -1          0.0000;
   226    2.001               0              -1          0.0000;
   227    2.010               0              -1          0.0000;
   228    2.019               0               0          0.0000;
   229    2.028               0               0          0.0000;
   230    2.036               0               0          0.0000;
   231    2.045               0               0          0.0000;
   232    2.054               0               0          0.0000;
   233    2.063               0               0          0.0000;
   234    2.072               0               0          0.0000;
   235    2.081               0               0          0.0000;
   236    2.090               0               0          0.0000;
   237    2.098               0               0          0.0000;
   238    2.107               0               0          0.0000;
   239    2.116               0               0          0.0000;
   240    2.125               0               0          0.0000;
   241    2.134               0               0          0.0000;
   242    2.143               0               0          0.0000;
   243    2.152               0               0          0.0000;
   244    2.160               0               0          0.0000;
   245    2.169               0               0          0.0000;
   246    2.178               0               0          0.0000;
   247    2.187               0               0          0.0000;
   248    2.196               0               0          0.0000;
   249    2.205               0               0          0.0000;
   250    2.214               0               0          0.0000;
   251    2.222               0               0          0.0000;
   252    2.231               0               0          0.0000;
   253    2.240               0               0          0.0000;
   254    2.249               0               0          0.0000;
   255    2.258               0               0          0.0000;
   256    2.267               0               0          0.0000;
   257    2.276               0               0          0.0000;
   258    2.284               0              -1          0.0000;
   259    2.293               0              -1          0.0000;
   260    2.302               0              -1          0.0000;
   261    2.311               0              -1          0.0000;
